Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2)
5.207657208E1,-1.887338877E0,9.691530228E0,2.118246317E0
5.208645937E1,-1.506880045E0,9.832706451E0,2.278565407E0
5.209634666E1,-1.147657514E0,9.715457916E0,2.319243431E0
5.210623401E1,-8.147560954E-1,9.418747902E0,2.398206472E0
5.211612130E1,-7.740781307E-1,8.987740517E0,2.446063042E0
5.212600859E1,-6.855437160E-1,8.681160927E0,2.558824778E0
5.213589588E1,-7.070791125E-1,8.822636604E0,2.422134638E0
5.214578317E1,-9.275178909E-1,9.138488770E0,2.020140409E0
5.215567046E1,-1.303191066E0,9.351749420E0,1.703988791E0
5.216555776E1,-1.595414519E0,9.382855415E0,1.636989832E0
5.217544505E1,-1.624128342E0,9.466604233E0,1.778166294E0
5.218533239E1,-1.593021631E0,9.540781975E0,1.699203134E0
5.219521968E1,-1.353440285E0,9.459425926E0,1.450349569E0
5.220510697E1,-1.051944613E0,9.167202950E0,1.136590719E0
5.221499426E1,-9.538389444E-1,8.846564293E0,1.024128079E0
5.222488156E1,-1.116550922E0,8.705088615E0,9.954141974E-1
5.223476890E1,-1.286441326E0,8.801100731E0,9.786644578E-1
5.224465619E1,-1.516451359E0,8.913563728E0,1.091127157E0
5.225454348E1,-1.794018745E0,9.140881538E0,1.376172066E0
5.226443078E1,-2.047957182E0,9.344570160E0,1.591526151E0
5.227431807E1,-2.074278116E0,9.320642471E0,1.471885085E0
5.228420536E1,-1.784447432E0,9.164810181E0,1.486241937E0
5.229409265E1,-1.616949916E0,9.040383339E0,1.416850090E0
5.230397994E1,-1.624128342E0,8.992527008E0,1.165304661E0
5.231386729E1,-1.569093466E0,8.915956497E0,1.328016520E0
5.232375458E1,-1.461416483E0,9.073882103E0,1.586740494E0
5.233364187E1,-1.111765265E0,9.595816612E0,1.816451430E0
5.234352916E1,-9.753743410E-1,9.916754723E0,1.505384564E0
5.235341645E1,-8.267202377E-1,1.000528908E1,1.198804140E0
5.236330374E1,-5.132604837E-1,9.864111900E0,1.043270707E0
5.237319104E1,-2.425723970E-1,9.466604233E0,9.403793216E-1
5.238307838E1,-3.194418252E-1,9.119346619E0,1.060020447E0
5.239296567E1,-5.874379873E-1,9.016454697E0,1.146162033E0
5.240285296E1,-3.960121572E-1,9.083454132E0,1.138983607E0
5.241274026E1,2.335993052E-1,9.095417976E0,7.968099117E-1
5.242262755E1,8.249256015E-1,9.148059845E0,5.620142221E-1
5.243251484E1,1.224826097E0,9.299106598E0,2.676970363E-1
5.244240218E1,1.363609791E0,9.509675026E0,4.088735580E-1
5.245228947E1,1.220040441E0,9.789635658E0,6.050850153E-1
