"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.431976788E0,1.307829142E0,-7.472839355E-1,-1.114834309E0
1.441863871E0,1.855255961E0,-1.050935745E0,-1.755822062E0
1.451751007E0,2.339316368E0,-1.071326733E0,-2.143719196E0
1.461638090E0,2.047999382E0,-7.264757156E-1,-9.840707779E-1
1.471525225E0,1.488689184E-1,1.815910339E-1,1.234110594E0
1.481412309E0,-2.954383373E0,1.905856133E0,3.673450232E0
1.491299392E0,-5.588594913E0,3.462544441E0,6.154137611E0
1.501186527E0,-6.285117149E0,4.164426804E0,6.591166496E0
1.511073611E0,-5.519877911E0,3.020144463E0,5.339154243E0
1.520960694E0,-3.961030006E0,1.285210609E0,4.159591198E0
1.530847829E0,-9.325603247E-1,5.507669449E-1,2.003855228E0
1.540734913E0,2.130761385E0,9.160051346E-1,1.636584997E0
1.550622048E0,3.516685724E0,1.359088898E0,-7.626368999E-1
1.560509132E0,3.748777628E0,1.551713943E0,-2.095089436E0
1.570396215E0,3.744292498E0,1.787909508E0,-2.564493656E0
1.580283350E0,3.146232843E0,1.889879227E0,-2.226435423E0
1.590170434E0,2.034770727E0,1.571546555E0,-9.160270691E-1
1.600057569E0,1.047145128E0,7.634487152E-1,3.278675079E-1
1.609944652E0,5.385541916E-1,1.395568848E-1,-3.899812698E-3
1.619831736E0,6.691763401E-1,8.598804474E-2,-8.508890867E-1
1.629718871E0,9.135774374E-1,2.058134079E-1,-1.483689308E0
1.639605954E0,9.258254766E-1,3.364124298E-1,-1.899471998E0
1.649493090E0,8.302143216E-1,3.341102600E-1,-1.324302912E0
1.659380173E0,2.738272846E-1,1.017055511E-1,-7.207695246E-1
1.669267257E0,-5.199618340E-1,-2.423315048E-1,-3.817403316E-1
1.679154392E0,-1.094616532E0,-6.301832199E-1,-2.610335350E-1
1.689041475E0,-1.243257642E0,-8.407030106E-1,-1.611456871E-1
1.698928611E0,-1.041878462E0,-7.286243439E-1,-2.102384567E-1
1.708815694E0,-7.374188304E-1,-4.563121796E-1,-2.721574306E-1
1.718702777E0,-8.342310190E-1,-1.414823532E-1,-6.016612053E-2
1.728589913E0,-1.303117633E0,-9.275627136E-2,1.490362883E-1
1.738476996E0,-1.781807065E0,-2.144536972E-1,1.290403605E-1
1.748364132E0,-1.903852582E0,-2.486419678E-1,2.557568550E-1
1.758251215E0,-1.684869170E0,-1.253700256E-1,1.470361948E-1
1.768138298E0,-1.111459613E0,2.256269455E-1,-2.583408356E-1
1.778025434E0,-6.726154089E-1,5.414428711E-1,-5.615992546E-1
1.787912517E0,-6.423978806E-1,5.344953537E-1,-3.600027561E-1
1.797799600E0,-7.396351099E-1,1.780490875E-1,-2.092103958E-1
1.807686736E0,-6.537666917E-1,-1.614818573E-1,-1.791797876E-1
1.817573819E0,-4.833905101E-1,-1.981744766E-1,-4.027209282E-1
1.827460954E0,-1.452108026E-1,-1.575098038E-1,-3.564658165E-1
1.837348038E0,1.119784117E-1,-6.111526489E-2,-7.083560228E-1
1.847235173E0,1.815305948E-1,-9.518623352E-3,-8.586525917E-1
1.857122257E0,4.438483715E-2,4.241943359E-3,-5.400308967E-1
1.867009340E0,-1.628435850E-1,-4.104328156E-2,-3.358904123E-1
